Power_Station,Records,Programme_avg,Actual_avg,Programme_sum,Actual_sum,Generation_Difference_avg,Excess_Shortfall_avg,Total_Maintenance_avg,Forced_Maintenance_avg,Available_Capacity_sum,Programme_Achievement_pct,Capacity_Utilization_pct,Deviation_pct,Maintenance_Impact_Index_pct
ABAN POWR,783.0,1.4043933588761177,1.528007662835249,1099.64,1196.43,0.1236143039591315,0.12362707535121328,4.13103448275862,1.6830140485312899,90568.90999999997,108.80197155432687,1.3210162295207046,8.801971554326867,3.4482718183999728
ACB,1253.0,5.546456504389466,4.736544293695132,6949.710000000001,5934.889999999999,-0.8099122106943336,-0.8098643256185156,110.45490822027135,102.18276137270551,268825.0,85.3976640751916,2.2077150562633685,-14.602335924808393,33.98612560623734
ACPL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
ADHPL,1292.0,2.183699690402477,2.123157894736842,2821.34,2743.12,-0.060541795665634654,-0.060557275541795685,28.08668730650155,13.671826625386997,211776.0,97.2275585360148,1.2952931399214263,-2.7724414639852073,14.628482972136222
ADHUNIK,1156.0,9.173659169550174,8.889532871972317,10604.75,10276.3,-0.2841262975778546,-0.2841003460207613,101.36678200692042,86.88581314878893,507060.0,96.90280298922652,2.026643789689583,-3.0971970107734808,18.771626297577853
AEML,979.0,10.585750766087845,8.990398365679265,10363.45,8801.6,-1.5953524004085802,-1.5953524004085802,53.88151174668029,43.41164453524004,436750.0,84.92924653469646,2.0152489982827704,-15.070753465303547,10.776302349336058
AHPC (GVK),1337.0,3.5360508601346297,3.956013462976814,4727.7,5289.1900000000005,0.419962602842184,0.4199700822737472,0.0,0.0,441210.0,111.8765996150348,1.1987919584778226,11.87659961503481,0.0
AMNEPL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,246.0,123.0,0.0,,,,100.0
APCPL,1686.0,16.014009489916965,18.757206405693946,26999.620000000003,31624.649999999994,2.7431969157769864,2.7431909845788853,393.2384341637011,274.6144721233689,1866000.0,117.12998182937386,1.6947829581993565,17.12998182937386,26.215895610913403
APGPCL,1185.0,1.8765569620253162,2.932565400843882,2223.72,3475.09,1.0560084388185655,1.0560590717299576,54.34177215189873,2.30126582278481,257925.0,156.27372151170113,1.347325772996026,56.27372151170113,19.978592702903946
APL,3490.0,82.97685100286533,71.02027793696276,289589.21,247860.77000000002,-11.95657306590258,-11.956567335243552,1325.5787965616046,892.4183381088825,12236730.0,85.59047141293696,2.025547429746346,-14.409528587063033,27.434442270058707
BALCO,1627.0,8.28919483712354,8.612292562999386,13486.52,14012.2,0.3230977258758453,0.3231038721573448,139.76644130301167,128.1499692685925,748800.0,103.89781796935014,1.8712873931623932,3.8978179693501382,23.29440688383528
BBMB,1160.0,26.75741379310345,29.690370689655175,31038.600000000002,34440.83,2.932956896551724,2.9329568965517243,633.1912931034482,3.6885344827586204,2658410.0999999996,110.96128691371389,1.2955423995718345,10.96128691371389,21.64812703659865
BELLARY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2,,0.0,,0.0
BEPL,925.0,3.6141621621621622,4.898335135135135,3343.1,4530.96,1.2841729729729732,1.2841837837837837,163.7027027027027,137.1891891891892,264825.0,135.53169214202387,1.7109260832625317,35.53169214202387,36.37837837837838
BIPL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
BLAPPL,502.0,0.96398406374502,0.7432270916334662,483.92,373.1,-0.22075697211155376,-0.22069721115537846,42.669322709163346,37.559760956175296,20430.0,77.09952058191438,1.8262359275575135,-22.90047941808563,51.182795698924735
BRBCL,1358.0,11.54077319587629,12.736421207658323,15672.37,17296.06,1.1956480117820325,1.19560382916053,143.22533136966126,109.1678939617084,837250.0,110.36020716713554,2.065817856076441,10.36020716713554,18.85146595590017
BSES  AP,2.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,220.0,,0.0,,50.0
BSES(C),2.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,0.0,174.0,,0.0,,50.0
BSES(P),18.0,0.0,2.423333333333334,0.0,43.620000000000005,2.423333333333334,2.4244444444444446,0.0,0.0,3960.0,,1.1015151515151516,,0.0
CEPL,1229.0,11.475907241659886,10.379983726606998,14103.89,12757.0,-1.0959235150528885,-1.0959235150528885,598.0471928397071,594.6297803091944,739800.0,90.45022330718689,1.7243849689105164,-9.549776692813113,49.83726606997559
CESC,1776.0,16.47775337837838,16.297708333333333,29264.49,28944.73,-0.18004504504504504,-0.18002815315315315,380.9628378378378,315.9248310810811,1321410.0,98.90734470342726,2.1904427846012973,-1.0926552965727474,33.86336336336336
CGPL,1630.0,64.70092638036809,60.265355828220855,105462.50999999998,98232.53,-4.435570552147239,-4.435570552147239,1158.282208588957,721.963190184049,4632000.0,93.14450225013611,2.12073683074266,-6.8554977498638925,28.957055214723926
CLPINDIA,302.0,0.8137417218543045,1.9500662251655632,245.74999999999997,588.9200000000001,1.1363245033112583,1.1364238410596028,26.73841059602649,9.387417218543046,189735.0,239.64191251271623,0.3103908082325349,139.64191251271623,4.082200090996411
CPL,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
DAE,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,,,,100.0
DBPCL,1610.0,19.205248447204973,19.83108695652174,30920.450000000004,31928.050000000003,0.6258385093167701,0.6258571428571428,170.6832298136646,96.8944099378882,1657200.0,103.25868478628222,1.9266262370263096,3.258684786282213,14.22360248447205
DEPL,1197.0,1.4634920634920636,1.5191645781119465,1751.8000000000002,1818.44,0.055672514619883054,0.05568922305764411,7.2180451127819545,2.0852130325814535,134015.0,103.804087224569,1.3568928851247994,3.804087224569007,6.0565700466159615
DIL,625.0,5.93296,11.424064,3708.1,7140.04,5.491104,5.491104,28.32,18.72,357300.0,192.55252015857178,1.9983319339490622,92.55252015857178,4.72
DIPL,917.0,5.704111232279171,9.172006543075245,5230.67,8410.73,3.467895310796074,3.467895310796074,113.8495092693566,107.30643402399127,445800.0,160.79641804969532,1.8866599371915656,60.79641804969535,18.974918211559434
DLHP,225.0,0.15675555555555554,0.3074666666666667,35.269999999999996,69.18,0.1507111111111111,0.15075555555555556,0.0,0.0,7650.0,196.14403175503264,0.9043137254901962,96.14403175503264,0.0
DPSCLTD,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
DVC,1861.0,103.43322407307897,108.02932294465342,192489.22999999998,201042.57,4.596098871574423,4.596104245029554,1665.79795808705,1255.9262761955936,10121265.199999997,104.44354211401854,1.986338328532287,4.443542114018548,23.44736475233569
E.P.P.L.,938.0,1.1808742004264394,1.1903837953091683,1107.66,1116.58,0.009509594882729205,0.009541577825159919,7.515991471215352,0.42643923240938164,86750.0,100.80530126573134,1.2871239193083572,0.8053012657313476,7.515991471215353
EPGL,616.0,6.377873376623376,13.551217532467534,3928.77,8347.550000000001,7.173344155844157,7.173344155844157,282.46753246753246,247.4025974025974,565200.0,212.4723513975112,1.4769196744515218,112.47235139751119,23.53896103896104
ESSAR,5.0,0.0,0.10400000000000001,0.0,0.52,0.10400000000000001,0.10400000000000001,412.0,162.0,515.0,,0.10097087378640777,,80.0
ESSARPMPL,857.0,12.078506417736287,9.969323220536754,10351.279999999999,8543.71,-2.1091831971995334,-2.109229871645274,417.26954492415405,415.8693115519253,570000.0,82.53771514247514,1.49889649122807,-17.462284857524864,38.55109961190168
GAUTAMI,2.0,0.0,0.0,0.0,0.0,0.0,0.0,232.0,0.0,464.0,,0.0,,50.0
GBHPPL,920.0,0.7890108695652173,0.8489021739130435,725.8899999999999,780.99,0.059891304347826094,0.05988043478260869,12.668478260869565,9.282608695652174,52745.0,107.59068178374136,1.4806901128069012,7.590681783741358,18.097826086956523
GCEL,1316.0,11.58830547112462,17.805934650455928,15250.21,23432.61,6.217629179331307,6.217651975683891,390.9080547112462,318.5562310030395,1288485.0,153.65434312052096,1.8186172132388039,53.65434312052098,28.533434650455924
GEPL,2.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,60.0,0.0,,,,100.0
