Model,MAE,RMSE,R2,MAPE(%),MAPE_rows_used,MAPE_rows_excluded_near_zero
Linear Regression,3.4397977080523594,5.843719549581032,0.9843733143419656,26.463858548536773,27976,1824
Random Forest,1.981,,0.9937,11.853763026176072,27976,1824
Gradient Boosting,3.151999853529268,5.112668264687216,0.988038562521142,21.854610725226475,27976,1824
HistGB (XGBoost substitute),2.644631406241448,4.441257670444702,0.9909739011209804,17.830879372470527,27976,1824
